season,name,role,PA,BA,OBP,SLG,OPS,HR,RBI,SB,G,GS,IP,ERA,WHIP,SO,BB,SV
2022,Julio Rodriguez,batter,560.0,0.284,0.345,0.509,0.853,28.0,75.0,25.0,,,,,,,,
2022,Cal Raleigh,batter,415.0,0.211,0.284,0.489,0.774,27.0,63.0,1.0,,,,,,,,
2022,J.P. Crawford,batter,603.0,0.243,0.339,0.336,0.675,6.0,42.0,3.0,,,,,,,,
2022,Logan Gilbert,pitcher,,,,,,,,,32.0,32.0,185.2,3.2,1.18,174.0,49.0,0.0
2022,George Kirby,pitcher,,,,,,,,,25.0,25.0,130.0,3.39,1.208,133.0,22.0,0.0
2022,Andres Munoz,pitcher,,,,,,,,,64.0,0.0,65.0,2.49,0.892,96.0,15.0,4.0
2025,Julio Rodriguez,batter,710.0,0.267,0.324,0.474,0.798,32.0,95.0,30.0,,,,,,,,
2025,Cal Raleigh,batter,705.0,0.247,0.359,0.589,0.948,60.0,125.0,14.0,,,,,,,,
2025,J.P. Crawford,batter,654.0,0.265,0.352,0.37,0.722,12.0,58.0,8.0,,,,,,,,
2025,Randy Arozarena,batter,709.0,0.238,0.334,0.426,0.76,27.0,76.0,31.0,,,,,,,,
2025,Cole Young,batter,257.0,0.211,0.302,0.305,0.607,4.0,24.0,1.0,,,,,,,,
2025,Josh Naylor,batter,210.0,0.299,0.341,0.49,0.831,9.0,33.0,19.0,,,,,,,,
2025,Dominic Canzone,batter,269.0,0.3,0.358,0.481,0.84,11.0,32.0,3.0,,,,,,,,
2025,Logan Gilbert,pitcher,,,,,,,,,25.0,25.0,131.0,3.44,1.031,173.0,31.0,0.0
2025,Bryan Woo,pitcher,,,,,,,,,30.0,30.0,186.2,2.94,0.927,198.0,36.0,0.0
2025,George Kirby,pitcher,,,,,,,,,23.0,23.0,126.0,4.21,1.19,137.0,29.0,0.0
2025,Andres Munoz,pitcher,,,,,,,,,64.0,0.0,62.1,1.73,1.027,83.0,28.0,38.0
2025,Eduard Bazardo,pitcher,,,,,,,,,73.0,0.0,78.2,2.52,1.017,82.0,27.0,0.0
2026,Julio Rodriguez,batter,489.0,0.259,0.325,0.426,0.751,19.0,52.0,16.0,,,,,,,,
2026,Cal Raleigh,batter,380.0,0.156,0.266,0.291,0.556,12.0,43.0,2.0,,,,,,,,
2026,J.P. Crawford,batter,364.0,0.212,0.33,0.345,0.675,10.0,30.0,1.0,,,,,,,,
2026,Randy Arozarena,batter,497.0,0.275,0.368,0.45,0.818,16.0,52.0,20.0,,,,,,,,
2026,Cole Young,batter,497.0,0.262,0.319,0.407,0.726,15.0,56.0,3.0,,,,,,,,
2026,Josh Naylor,batter,492.0,0.267,0.332,0.375,0.707,10.0,44.0,23.0,,,,,,,,
2026,Dominic Canzone,batter,367.0,0.257,0.332,0.492,0.825,19.0,51.0,1.0,,,,,,,,
2026,Logan Gilbert,pitcher,,,,,,,,,24.0,24.0,145.1,3.28,0.991,152.0,33.0,0.0
2026,Bryan Woo,pitcher,,,,,,,,,23.0,23.0,132.1,4.15,1.103,132.0,28.0,0.0
2026,George Kirby,pitcher,,,,,,,,,23.0,23.0,136.2,3.89,1.31,114.0,31.0,0.0
2026,Andres Munoz,pitcher,,,,,,,,,47.0,0.0,44.1,4.47,1.241,70.0,17.0,21.0
2026,Eduard Bazardo,pitcher,,,,,,,,,58.0,0.0,55.0,3.11,1.273,54.0,16.0,0.0
